texture,/ˈtɛkstʃər/,"(물체를 손으로 만졌을 때 느껴지는) 감촉, 질감",I love the soft texture of this cashmere sweater.
texture,/ˈtɛkstʃər/,"(음식이 입 안에서 느껴지는) 식감, 질감","The cake had a light, fluffy texture that melted instantly."
mucus,/ˈmjukəs/,(코 등에서 나오는) 점액,A cold usually produces a lot of mucus in your nose.
indigenous,/ɪnˈdɪdʒənəs/,"원산의, 토착의",Kangaroos are indigenous to the continent of Australia.
suffocate,/ˈsʌfəˌkeɪt/,"질식시키다, 질식시켜 죽이다",The thick smoke nearly suffocated the trapped residents.
untangle,/ʌnˈtæŋɡəl/,(엉킨 것을) 풀다,It took ages to untangle the knotted headphone wires.
ingenious,/ɪnˈdʒinjəs/,"매우 독창적인, 기발한",She came up with an ingenious solution to the problem.
unprecedented,/ʌnˈprɛsɪˌdɛntɪd/,"전례 없는, 미증유의",The pandemic caused unprecedented disruption to global travel.
carbohydrate,/ˌkɑrboʊˈhaɪdreɪt/,"탄수화물, 탄수화물 식품",Bread and pasta are rich in carbohydrates.
nurture,/ˈnɜrtʃər/,"(희망, 야망, 믿음 등을 마음속으로) 키우다",She nurtured a secret dream of becoming a painter.
nurture,/ˈnɜrtʃər/,"(화초나 풀밭 등을) 가꾸다, 보살피다",He carefully nurtured the young seedlings in his garden.
nurture,/ˈnɜrtʃər/,"양육, 육성, 양성",The debate over nature versus nurture continues today.
pediatrician,/ˌpidiəˈtrɪʃən/,소아과 의사,We took our newborn to the pediatrician for a checkup.
coherent,/koʊˈhɪrənt/,"일관성 있는, 논리 정연한, 조리 있는",The essay lacked a coherent argument from beginning to end.
coherent,/koʊˈhɪrənt/,(사람이) 조리 있게 말하는,He was too drunk to give a coherent answer.
wasted,/ˈweɪstɪd/,(술 또는 마약에) 엄청나게 취한 <엄청나게 취해 제정신이 아닌 상태>,He got completely wasted at the party last night.
stork,/stɔrk/,황새,A stork built its nest on top of the chimney.
destitute,/ˈdɛstɪˌtut/,"극빈한, 궁핍한",The war left thousands of families completely destitute.
avenue,/ˈævəˌnu/,"(목적을 이룰) 길, 방안, 수단",We explored every avenue before deciding to sell the house.
spur,/spɜr/,(말에) ~에 박차를 가하다,The rider spurred his horse into a full gallop.
avocation,/ˌævoʊˈkeɪʃən/,취미,"Painting is his avocation, though he works as an accountant."
punctuation,/ˌpʌŋktʃuˈeɪʃən/,"구두점 사용, 구두법",Correct punctuation makes your writing much easier to read.
flashback,/ˈflæʃˌbæk/,"(영화, 연극 등에서) 회상 장면",The film uses a flashback to reveal the hero's childhood.
birth defect,/ˈbɜrθ dɪˌfɛkt/,"선천적 장애, 선천적 결손증",Doctors detected the birth defect during a routine ultrasound.
cornstarch,/ˈkɔrnˌstɑrtʃ/,"옥수수 전분, 옥수수 녹말",Add a little cornstarch to thicken the sauce.
make-up game,/ˈmeɪkʌp ˌɡeɪm/,재경기 <스포츠에서 악천후 등의 사정으로 연기되어 재편성된 경기>,The rained-out match was rescheduled as a make-up game on Tuesday.
mitten,/ˈmɪtən/,"벙어리장갑, 손모아장갑",She knitted a pair of woolen mittens for her son.
autocomplete,/ˈɔtoʊkəmˌplit/,자동 완성 기능,The autocomplete feature guessed my email address instantly.
On your mark!,,(경주에서) 제자리에!,"On your mark, get set, go!"
dime,/daɪm/,땡전 한 푼 <부정문에 씀>,I won't pay a single dime for such terrible service.
bridal,/ˈbraɪdəl/,"신부의, 결혼식의",She looked stunning in her elegant white bridal gown.
dwindle,/ˈdwɪndəl/,(점점) 줄어들다,Their savings slowly dwindled during the long recession.
lead,/lid/,"(특정한 방식의 삶을) 살다, 영위하다","After retiring, they lead a quiet life in the countryside."
lead,/lid/,"실마리, 단서",Detectives followed every lead in the murder case.
shatter,/ˈʃætər/,"산산이 부수다, 산산조각 내다",The glass vase shattered into a thousand pieces on the floor.
faucet,/ˈfɔsɪt/,수도꼭지,Please turn off the faucet so water doesn't waste.
concession,/kənˈsɛʃən/,"양보, 양해",Neither side was willing to make any concession during talks.
warmth,/wɔrmθ/,온기,We gathered near the fire for its comforting warmth.
autocratic,/ˌɔtəˈkrætɪk/,"독재의, 독재적인",The manager's autocratic style discouraged any team input.
viable,/ˈvaɪəbəl/,(생물이) 생존 가능한,The premature baby was born barely viable but survived.
viable,/ˈvaɪəbəl/,실행 가능한,Solar power is now a viable alternative to fossil fuels.
wane,/weɪn/,"약해지다, 줄어들다, 시들해지다",Public interest in the show began to wane after season three.
crotch,/krɑtʃ/,"가랑이, 사타구니",The jeans ripped right at the crotch when he bent down.
fungus,/ˈfʌŋɡəs/,"균류, 곰팡이류",A strange fungus was growing on the damp bathroom wall.
felony,/ˈfɛləni/,"중죄, 중범죄, 흉악 범죄",He was convicted of a felony and sentenced to prison.
puke,/pjuk/,토하다,The sick child puked all over the kitchen floor.
from time to time,,"가끔, 이따금",We still meet for coffee from time to time.
substantial,/səbˈstænʃəl/,"(양, 가치, 중요성이) 상당한",The company reported a substantial profit this quarter.
goopy,/ˈɡupi/,"끈적거리는, 끈적끈적한 <속어>",The kids covered their hands in goopy slime.
desperate,/ˈdɛspərɪt/,"~을 간절히 필요로 하는, 간절히 원하는","After the long hike, we were desperate for water."
desperate,/ˈdɛspərɪt/,"절박한, 절실한",He made a desperate attempt to save the drowning dog.
setting,/ˈsɛtɪŋ/,"(연극, 소설 등의) 배경",The novel's setting is a small town in the 1950s.
what ~ like,,"(상태, 형편, 사람이) 어떠한가",What is your new apartment like?
sensational,/sɛnˈseɪʃənəl/,"세상을 놀라게 할 만한, 선풍적인, 돌풍을 일으키는 <엄청난 관심을 끄는>",The young singer made a sensational debut on national television.
rehash,/ˈriˌhæʃ/,재탕하다 <많이 바꾸거나 개선하지 않고 그대로 재사용하다>,The sequel just rehashed the same tired jokes.
disorient,/dɪsˈɔriɛnt/,~의 방향 감각을 잃게 하다,The thick fog disoriented the hikers completely.
GPA,/ˌdʒi pi ˈeɪ/,평균 평점 <각 과목의 성적 평점을 평균한 것. grade point average>,She maintained a perfect GPA throughout college.
cap and trade,,탄소배출권 거래제,The government introduced a cap and trade system to cut emissions.
fix-up,/ˈfɪksˌʌp/,"소개팅, 맞선",My friend arranged a fix-up with her coworker.
palpable,/ˈpælpəbəl/,"뚜렷한, 감지할 수 있는, 손에 만져질 듯한",The tension in the courtroom was almost palpable.
whichever,/wɪˈtʃɛvər/,"어느 것이든, 어느 것을 ~하든",Choose whichever dessert you like best.
just in case,,"만약을 대비해서, 혹시 모르니까",Bring an umbrella just in case it rains later.
overall,/ˌoʊvərˈɔl/,"대체로, 전반적으로","Overall, the trip was a wonderful experience."
dirt,/dɜrt/,"좋지 않은 정보, 추문",The reporter dug up some dirt on the senator.
in a hurry,,"바쁜, 급한 <형용사적 용법>",She was in a hurry and forgot her keys.
clergy,/ˈklɜrdʒi/,(특히 기독교의) 성직자들,Members of the clergy led the community in prayer.
debacle,/dɪˈbɑkəl/,"대실패, 큰 낭패",The product launch turned into a complete debacle.
try one's hand,,(새로운 것을 처음으로) (~을) 시도해보다,She decided to try her hand at pottery this summer.
horde,/hɔrd/,"(사람의) 떼, 무리, 패, 군중 <부정적인 어감으로 쓰는 경우가 많음>",A horde of tourists crowded around the famous statue.
trait,/treɪt/,(성격상의) 특성,Patience is an important trait in a good teacher.
imperative,/ɪmˈpɛrətɪv/,"명령법, 명령형, 명령문 <문법 용어>","In grammar, the imperative is used to give commands."
imperative,/ɪmˈpɛrətɪv/,"의무, 책무",Protecting the environment is a moral imperative for us all.
submissive,/səbˈmɪsɪv/,"순종적인, 고분고분한",The dog rolled over in a submissive gesture.
harness,/ˈhɑrnɪs/,"(동력원 등으로) 이용하다, 활용하다",Engineers found new ways to harness solar energy efficiently.
dust,/dʌst/,(천 등으로) 먼지를 닦다 <자동사>,She dusted carefully around the fragile ornaments.
what if ~?,,"~면 어쩌지?, ~라면 어떻게 될까?",What if we miss the last train home?
what if ~?,,(제안을 나타내어) ~하면 어떨까?,What if we ordered pizza instead of cooking tonight?
amend,/əˈmɛnd/,"(법 등을) 개정하다, 수정하다",Congress voted to amend the outdated law.
pluck,/plʌk/,"(머리카락, 눈썹 등을) 뽑다",She plucked her eyebrows carefully in front of the mirror.
cryptic,/ˈkrɪptɪk/,"수수께끼 같은, 아리송한",He left a cryptic note that no one could understand.
submit,/səbˈmɪt/,"(~에) 굴복하다, (~에) 복종하다, (~을) 감수하다",They refused to submit to the dictator's demands.
take,/teɪk/,"장악하다, 차지하다, 잡다",The rebels took control of the capital overnight.
take,/teɪk/,"필요하다, 필요로 한다, 있어야 하다 <주어로 사람은 올 수 없음>",It takes a lot of patience to raise a toddler.
prosperity,/prɑˈspɛrɪti/,"번영, 번성, 번창",The nation enjoyed decades of peace and prosperity.
put ~ off,,"미루다, 연기하다",Don't put off your homework until the last minute.
resume,/rɪˈzum/,"재개하다, 다시 시작하다",They resumed the meeting after a short coffee break.
intoxicated,/ɪnˈtɑksɪˌkeɪtɪd/,"(술, 마약에) 취한",He was clearly intoxicated when the police stopped him.
intoxicated,/ɪnˈtɑksɪˌkeɪtɪd/,"도취된, 몹시 들뜬",She was intoxicated by the thrill of her first success.
nocturnal,/nɑkˈtɜrnəl/,(동물이) 야행성의,Owls are nocturnal creatures that hunt at night.
presidency,/ˈprɛzɪdənsi/,"대통령직, 대통령 임기, 회장직, 회장 임기",His presidency was marked by major economic reforms.
drastic,/ˈdræstɪk/,"(주로 변화가) 급격한, 격렬한",The company made drastic cuts to reduce its debts.
stunt,/stʌnt/,"(성장을) 방해하다, 발달을 저해하다",Poor nutrition can stunt a child's growth.
stunt,/stʌnt/,이목을 끄는 행동,The marketing stunt attracted thousands of curious onlookers.
put ~ foot down,,"결연한 태도를 취하다, 단호히 반대하다",Mom finally put her foot down about the late-night parties.
break ~ in,,(특히 새 신을) 길을 들이다,It took a week to break in my new hiking boots.
sidekick,/ˈsaɪdˌkɪk/,조수,Every superhero needs a loyal sidekick by his side.
giveaway,/ˈɡɪvəˌweɪ/,"(제품의 홍보 목적으로 끼워 주는) 증정품, 경품",The store offered a free giveaway with every purchase.
in one's book,,~의 기준에는,"In my book, honesty is the most important quality."
since,/sɪns/,(의문문으로) 언제부터,Since when do you enjoy waking up early?
brainwash,/ˈbreɪnˌwɑʃ/,세뇌시키다,The cult tried to brainwash its new members.
sign language,/ˈsaɪn ˌlæŋɡwɪdʒ/,"수어, 수화, 수화언어",She learned sign language to communicate with her deaf brother.
plain,/pleɪn/,"숨김없는, 솔직한, 있는 그대로의",Let me be plain with you about the risks involved.
plain,/pleɪn/,"이해하기 쉬운, 분명한","The instructions were written in plain, simple English."
annexation,/ˌænɛkˈseɪʃən/,(영토의) 합병,The annexation of the territory sparked international outrage.
psychotic,/saɪˈkɑtɪk/,"정신병의, 정신이상의",The patient suffered a psychotic episode and was hospitalized.
ignorant,/ˈɪɡnərənt/,"무지한, 무식한, 무학의",He remained completely ignorant of the danger he faced.
reciprocal,/rɪˈsɪprəkəl/,상호 간의,The two countries signed a reciprocal trade agreement.
recite,/rɪˈsaɪt/,"(열거하듯) 죽 말하다, 나열하다",He recited a long list of complaints about his job.
recite,/rɪˈsaɪt/,"암송하다, 낭송하다, 낭독하다",The student recited the poem beautifully from memory.
pose,/poʊz/,"(위험, 문제 등이) ~이 되다",The chemical spill poses a serious threat to wildlife.
deficiency,/dɪˈfɪʃənsi/,"(필수적인 것의) 결핍, 부족, 결핍증",A vitamin D deficiency can weaken your bones.
that's the way the cookie crumbles,,세상사가 다 그런 거야,"We lost the contract, but that's the way the cookie crumbles."
warfare,/ˈwɔrˌfɛr/,"전투, ~전, 전쟁",Modern warfare relies heavily on drones and technology.
objectionable,/əbˈdʒɛkʃənəbəl/,"불쾌한, 무례한 <격식 있는 표현>",The committee removed several objectionable passages from the book.
implicate,/ˈɪmplɪˌkeɪt/,(~에) ~가 연루되었음을 보여주다,The emails implicated several executives in the fraud scheme.
facilitate,/fəˈsɪlɪˌteɪt/,"가능하게 하다, 용이하게 하다, 쉽게 하다",A good moderator can facilitate a productive discussion.
formula,/ˈfɔrmjələ/,(아기들 먹이는) 분유,She fed the newborn formula every three hours.
take ~ out,,"~을 죽이다, ~을 없애다 <비격식>",The sniper was ordered to take out the target quietly.
disclose,/dɪsˈkloʊz/,(눈에 안 보이던 것을) 드러내다 <격식>,The curtain rose to disclose a beautifully decorated stage.
disclose,/dɪsˈkloʊz/,"밝히다, 공개하다, 폭로하다",The company refused to disclose its financial records.
pneumonia,/nuˈmoʊnjə/,폐렴,He was hospitalized with severe pneumonia last winter.
worsen,/ˈwɜrsən/,악화시키다,Her condition worsened rapidly during the night.
on the wane,,"줄어드는 중인, 시들해지는 중인",The politician's popularity is clearly on the wane.
knock ~ over,,쳐서 넘어뜨리다,The cat knocked over the vase and shattered it.
embarrass,/ɪmˈbærəs/,"당황스럽게 만들다, 어색하게 만들다, 부끄럽게 만들다, 곤란하게 만들다",He embarrassed her by telling that story in public.
devise,/dɪˈvaɪz/,"~을 생각해 내다, 창안하다, 고안하다",They devised a clever plan to increase sales.
assess,/əˈsɛs/,"가늠하다, 재다, 검토 평가하다",The teacher will assess each student's progress this month.
extent,/ɪkˈstɛnt/,"(크기, 중요성, 심각성 등의) 정도, 규모",The full extent of the damage was not yet known.
slip one's mind,,"잊어 버리다, 생각나지 않다","I meant to call you, but it slipped my mind."
acute,/əˈkjut/,"격심한, 극심한",She felt an acute pain in her lower back.
collarbone,/ˈkɑlərˌboʊn/,쇄골(鎖骨),He broke his collarbone falling off his bicycle.
comatose,/ˈkoʊməˌtoʊs/,혼수상태인 <의학 용어>,The patient remained comatose for several weeks after the crash.
illustration,/ˌɪləˈstreɪʃən/,"(무엇에 대한 진실을 보여주는) 실례, 예, 보기",Her story is a perfect illustration of hard work paying off.
dominant,/ˈdɑmɪnənt/,"우세한, 지배적인",The company holds a dominant position in the market.
pen,/pɛn/,(가축의) 우리,The farmer led the sheep back into their pen.
gourmet,/ɡɔːrˈmeɪ/,"미식가의, 미식가를 위한",She opened a gourmet restaurant featuring rare ingredients from around the world.
make a fuss,,"소란을 피우다, 호들갑 떨다",Please don't make a fuss over such a small mistake.
stand in,,"(~를) 대신하다, 대신 일을 봐 주다",Can you stand in for me at tomorrow's morning meeting?
brag,/bræɡ/,(~을) 자랑하다,He loves to brag about his expensive new sports car.
click,/klɪk/,"(~와) 마음이 통하다, 좋아하게 되다",We clicked instantly and became close friends within a week.
adrenaline,/əˈdrɛnəlɪn/,아드레날린 <부신 호르몬의 하나>,The sudden scare sent a rush of adrenaline through my body.
cut ~ short,,"~을 일찍 끝내다, 짧게 끝내다",We had to cut our vacation short because of the storm.
citation,/saɪˈteɪʃən/,"인용구, 인용문",The essay includes a citation from a famous philosopher.
deploy,/dɪˈplɔɪ/,"(군대, 무기를) 배치하다 <전문 용어>",The general decided to deploy troops along the northern border.
deploy,/dɪˈplɔɪ/,"(에어백 등이) 터지다, 전개되다",The airbags deploy instantly when the car detects a crash.
potent,/ˈpoʊtənt/,"(술, 약물, 오염물질 등이) 강한, 독한","This cough medicine is quite potent, so take only one spoonful."
chunk,/tʃʌŋk/,"큰 덩어리 <상당히 많은 양이나, 어떤 것의 큰 부분을 비유적으로 이르는 말>",A large chunk of my salary goes toward paying rent.
off the charts,,예상할 수 있는 범위를 훌쩍 뛰어 넘는,Ticket sales for the concert were completely off the charts.
stand,/stænd/,"(사안에 대해) 입장에 있다, 의견을 가지고 있다",Where do you stand on the new company policy?
wardrobe,/ˈwɔːrdroʊb/,"(한 개인이 가지고 있는) 소유 의상, 가진 옷",She spent a fortune updating her entire summer wardrobe.
wardrobe,/ˈwɔːrdroʊb/,옷장,He hung his coat neatly inside the bedroom wardrobe.
harsh,/hɑːrʃ/,"(날씨, 생활환경이) 혹독한",Farmers struggle to survive the harsh winters in this region.
harsh,/hɑːrʃ/,"가혹한, 냉혹한",His harsh criticism left the young writer feeling discouraged.
restore,/rɪˈstɔːr/,"(이전의 상황, 감정으로) 회복시키다",A good night's sleep helped restore my energy and mood.
swimmingly,/ˈswɪmɪŋli/,순조롭게,The project went swimmingly and we finished ahead of schedule.
squeeze,/skwiːz/,(좁은 곳에) 비집고 들어가다,She managed to squeeze into the crowded elevator before the doors closed.
belittle,/bɪˈlɪtl/,"하찮게 여기다, 업신여기다",He tends to belittle his coworkers to feel more important.
mumble,/ˈmʌmbl/,"중얼거리다, 웅얼웅얼 말하다",Please speak clearly and don't mumble during the presentation.
hang up on ~,,(통화 중에 갑자기) ~의 전화를 끊어 버리다,She got so angry that she hung up on me.
amoral,/eɪˈmɔːrəl/,도덕관념이 없는,The corrupt executive seemed completely amoral about his dishonest dealings.
murmur,/ˈmɜːrmər/,"속삭임, 소곤거림",A soft murmur spread through the audience before the show began.
shrug,/ʃrʌɡ/,(어깨를) 으쓱하다,He gave a careless shrug when I asked about his plans.
magnanimous,/mæɡˈnænɪməs/,"(적이나 경쟁자 등에게) 도량이 넓은, 너그러운","The champion was magnanimous in victory, praising his defeated rival."
get down,,"완전히 익히다, 완전히 익힐 때까지 연습하다",It took weeks to get down the complicated dance routine.
tremble,/ˈtrɛmbl/,"(신체 부위가) 떨리다, 몸을 떨다 <자동사>",Her hands began to tremble from the freezing cold wind.
tremble,/ˈtrɛmbl/,(목소리가) 떨리다,His voice started to tremble as he read the sad letter.
mash,/mæʃ/,(음식을) 으깨다,Mash the boiled potatoes until they are smooth and creamy.
fasting,/ˈfæstɪŋ/,"단식, 금식",Many people practice fasting for both religious and health reasons.
intermittent,/ˌɪntərˈmɪtənt/,"간헐적인, 간간이 일어나는",The hikers faced intermittent rain throughout the entire afternoon.
rely on ~,,"~에 의지하다, ~에 의존하다",Farmers heavily rely on the weather for a good harvest.
rely on ~,,"~을 믿다, ~을 신뢰하다",You can always rely on her to keep a secret.
illiterate,/ɪˈlɪtərət/,"(특정 분야에 대해) 잘 모르는, 무지한 <주로 명사나 부사와 함께 씀>",He is completely computer illiterate and cannot send an email.
rebel,/ˈrɛbl/,"(규칙, 일반 통념 등에) 반항적인 사람, 반항아","As a teenager, he was a rebel who ignored every rule."
stakeholder,/ˈsteɪkhoʊldər/,주주,Every stakeholder must approve the merger before it goes forward.
denature,/diːˈneɪtʃər/,"(에틸알코올, 단백질, 핵연료 등을) 변성시키다",Heat is used to denature the proteins in the sample.
denature,/diːˈneɪtʃər/,"(단백질이) 변성되다, 변성하다",The proteins denature quickly when exposed to high temperatures.
bleak,/bliːk/,"(날씨가) 으스스한, 으슬으슬한","It was a bleak, grey morning with icy wind."
bleak,/bliːk/,"(상황이) 암울한, 절망적인",The future looked bleak after the factory suddenly closed down.
groom,/ɡruːm/,"(동물이) ~의 털을 다듬다, 가죽을 다듬다",The cat spent the afternoon grooming its soft fur.
groom,/ɡruːm/,"(사람이) ~의 털을 다듬다, 솔질하다",She carefully groomed the horse before the big competition.
digestive,/daɪˈdʒɛstɪv/,소화의,Ginger tea can soothe minor digestive problems after a heavy meal.
midwife,/ˈmɪdwaɪf/,"산파, 조산사 <출산을 돕는 사람. 또는 비유적으로 어떤 일의 실현을 돕는 사람>",The midwife helped deliver the baby safely at home.
foster,/ˈfɔːstər/,"발전시키다, 키우다, 조성하다",Good teachers foster curiosity and creativity in their students.
foster,/ˈfɔːstər/,"수양~, 양~, 위탁~",They decided to become foster parents for a young child.
jittery,/ˈdʒɪtəri/,"초조한 듯이 행동하는, 안절부절못하는, 초조한",Too much coffee makes me jittery and unable to focus.
poised,/pɔɪzd/,침착한,She stayed poised and calm during the difficult interview.
cop-out,/ˈkɑːpˌaʊt/,"(책임 회피의) 핑계, 구실",Blaming the weather is just a cop-out for your laziness.
in disguise,,"변장한, 가장한, 변장하여",The spy entered the palace in disguise as a servant.
assassination,/əˌsæsɪˈneɪʃən/,암살,The president's assassination shocked the entire nation deeply.
recession,/rɪˈsɛʃən/,"경기 후퇴, 경기 침체, 불경기",Many small businesses closed during the long economic recession.
intricate,/ˈɪntrɪkət/,"(여러 부분, 내용으로 되어 있어) 복잡한",The watch contains an intricate mechanism of tiny gears.
solid,/ˈsɑːlɪd/,"완전히, 빈틈없이, 꽉 차게",I waited two solid hours for the delayed train.
solid,/ˈsɑːlɪd/,(사람이) 믿음직한,He is a solid friend who never lets me down.
knock it off!,,"그만해, 집어치워, 그만둬 <비격식적인 표현>",Knock it off! You two have been arguing all morning.
puddle,/ˈpʌdl/,(특히 비 온 뒤의) 물웅덩이,The children happily jumped in every puddle after the rain.
eye-opening,/ˈaɪˌoʊpənɪŋ/,"괄목할 만한, 놀랄 만한",The documentary was an eye-opening look at ocean pollution.
